"id","nome","ano_lancamento","dev_publisher","plataforma","genero","engine_tech","status_codigo","metodo_modificacao","dificuldade","esforco_horas","viabilidade_claude","raciocinio_dificuldade","dilemas_compativeis","aderencia_psyfun","exemplo_concreto","popularidade","idade_publico","requisitos_tecnicos","custo_licencas","risco_tos","links","imagens","observacoes","fonte_agente"
"pico-8","PICO-8","2015","Lexaloffle","windows|mac|linux|web","fantasy-console","Lua fantasy console","closed-only","creative-mode-in-game","1","XS","5","Editor all-in-one, Lua simples, cart de 32k limitada — força minimalismo ideal pra dilema binário; 99% do workflow é Claude-friendly","PD|PG|SH|UG|DG|TG|CG|CPG|BG","5","Cartridge 2-jogadores local: cada um em split-screen pressiona botão A (cooperar) ou B (trair). Payoff visual em pixels. Template Slingshot-style em ~300 linhas Lua","Itch.io 50k+ carts, comunidade gigantesca","all-ages","Lua, sprites PICO-8","PICO-8 US$15","2","https://www.lexaloffle.com/pico-8.php","","EXCELENTE pro piloto: limitação 32k força minimalismo coop/trair","classic-reimpl"
"tic-80","TIC-80","2017","Vadim Grigoruk (Nesbox)","windows|mac|linux|web|android|ios","fantasy-console","Lua/JS/Python/Fennel/Wren","open-source","creative-mode-in-game","1","XS","5","MIT, open-source alternative to PICO-8, múltiplas linguagens; web export; editor all-in-one","PD|PG|SH|UG|DG|TG|CG|CPG|BG","5","Mesmo que PICO-8 mas grátis e open; cart 2p escolha binária","GitHub 4k+ stars, 10k+ carts","all-ages","Lua ou JavaScript","grátis","1","https://tic80.com | https://github.com/nesbox/TIC-80","","MELHOR que PICO-8 pra pesquisa: open + grátis + multi-language","classic-reimpl"
"pyxel","Pyxel","2018","Takashi Kitao","windows|mac|linux|web","fantasy-console","Python","open-source","template-engine","1","XS","5","MIT, Python retro game engine, 16 cores, 256x256; Python = Claude friendly","PD|PG|SH|UG|DG|TG|CG|CPG|BG","5","Script Python ~200 linhas: 2p teclado compartilhado, cada rodada 2 botões. Logging via CSV","GitHub 15k+ stars","all-ages","Python 3","grátis","1","https://github.com/kitao/pyxel","","Python nativo = ótimo pra Claude escrever do zero","classic-reimpl"
"minetest","Minetest","2010","Minetest Team","windows|mac|linux|android","sandbox-voxel","C++ / Lua","open-source","mod-loader-oficial","1","S","5","LGPLv2.1, Lua API enorme, servers públicos 100+ players, Minecraft-like mas MUITO mais mod-friendly que Minecraft","PD|PG|CG|SH|BG|TG","5","Mod Lua: chest compartilhado no spawn. Depositar recurso (PG) vs pegar (trair). Logs via Lua file IO","GitHub 10k+ stars, 2k+ mods","all-ages","Lua","100% grátis","1","https://www.minetest.net | https://github.com/minetest/minetest","","CANDIDATO TOP: Lua fácil + multiplayer + 100% free","classic-reimpl"
"roblox-studio","Roblox Studio","2006","Roblox Corp","windows|mac|android|ios|switch|xbox|playstation","creative-platform","Roblox","creative-platform","creative-mode-in-game","1","M","5","Luau (Lua variante); editor visual; pub infraestrutura hosted; docs massivas. Provavelmente cobrado por outro agente mas incluo pela relevância","PD|PG|UG|DG|TG|CG|CPG","5","Experiência custom em 1 semana; deploy zero. Publishable com 150M+ DAU","Roblox ~70M DAU","all-ages","Luau, Roblox Studio","grátis","2","https://create.roblox.com | https://create.roblox.com/docs | https://create.roblox.com/","","Consolidador: pode duplicar com outro agent","creative-platforms|sdk-aaa"
"prisoner-dilemma-itch","Prisoner's Dilemma simulator (direct itch)","2018","multiple jam devs","web","educational","varies","open-source","code-fork","1","XS","5","Vários PD sims prontos no itch com source","PD","5","Já é PD literal; só adicionar logging e polish","~20 entries 'prisoner dilemma'","all-ages","varies","gratuito","1","https://itch.io/games/tag-prisoners-dilemma","","TOP PICK direto","itch-source"
"print-play-social","Print-and-Play PG games (itch)","2020","varies","cross-platform","print-play","papel + regras digitais","source-available","template-engine","1","XS","5","Rules PDFs abertos, digitalização trivial","PG|UG|DG","5","Public goods game P&P exata — digitalizar regras direto","itch tag print-and-play ~3k jogos","varies","PDF + impl digital","varia","1","https://itch.io/physical-games/tag-print-and-play","","TOP PICK — P&P regras são especificação direta","itch-source"
"generic-prisoner-sim","PD visualizations (itch multi)","2020","multi devs","web","educational","JS","open-source","code-fork","1","XS","5","Diversos visualizadores de PD/tournament no itch/web, todos FOSS","PD|TG","5","","nicho educational","all-ages","JS","gratuito","1","https://itch.io/games/tag-prisoners-dilemma | https://axelrod.readthedocs.io/","","","itch-source"
"stagehunt","Stag Hunt direct FOSS","2020","jam/edu","web","educational","JS","open-source","code-fork","1","XS","5","","SH","5","Jogo já é SH literal","nicho educational","all-ages","JS","gratuito","1","https://itch.io/games/tag-stag-hunt","","","itch-source"
"ultimatum-sim","Ultimatum Game sim (FOSS)","2019","edu","web","educational","JS","open-source","code-fork","1","XS","5","","UG","5","","nicho","all-ages","JS","gratuito","1","https://itch.io/games/tag-ultimatum","","","itch-source"
"dictator-direct","Dictator Game direct FOSS","2019","edu","web","educational","JS","open-source","code-fork","1","XS","5","","DG","5","","nicho","all-ages","JS","gratuito","1","https://itch.io/games/tag-dictator","","","itch-source"
"public-goods-direct","Public Goods Game direct FOSS","2019","edu","web","educational","JS","open-source","code-fork","1","XS","5","","PG","5","","nicho edu","all-ages","JS","gratuito","1","https://itch.io/games/tag-public-goods","","","itch-source"
"renpy-android-template","Ren'Py Android template (VN engine)","2011","Tom Rothamel","android|ios|windows|linux|mac","engine-vn","Ren'Py Python","open-source","template-engine","1","XS","5","Engine FOSS Ren'Py; scripting simples","PD|UG|DG|TG|BG","5","VN engine permite criar Public Goods narrativo do zero — escolhas claras coop/trair com recompensas visuais","usada em 1000s de VNs","varies","Python, Ren'Py DSL","MIT","1","https://www.renpy.org | https://github.com/renpy/renpy","","Engine, nao jogo — mas potencialmente otima para pilotos","mobile-foss"
"otree-prisoners-dilemma","oTree Prisoner's Dilemma (sample)","2016","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","1","XS","5","Sample app já implementado no otree_library. ~100 linhas. Claude adapta UI trivialmente.","PD","5","Substituir botões Cooperate/Defect por pictogramas (caixa comum vs caixa própria) e mostrar payoffs visuais (frutas, moedas) sem números.","parte do otree-core, usado em dezenas de papers","all-ages","Python, oTree","grátis","1","https://github.com/oTree-org/otree_library | https://otree.readthedocs.io/en/latest/tutorial/prisoner.html","","Ponto de partida ideal. Payoff matrix editável em Constants.","research-serious"
"otree-public-goods","oTree Public Goods Game","2016","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","1","XS","5","Sample oficial. Inputs de contribuição, multiplicador, redistribuição — tudo parametrizado.","PG","5","Input slider de endowment para pool comum; visualizar como 'árvore compartilhada' que cresce com contribuição coletiva e frutifica para todos. Substitui número por animação.","sample oficial, referência em N papers","all-ages","Python, oTree","grátis","1","https://github.com/oTree-org/otree_library/tree/master/public_goods","","Linear VCM (Voluntary Contribution Mechanism) clássico. Fácil estender pra n rounds, punição, strangers vs partners.","research-serious"
"otree-ultimatum","oTree Ultimatum Game","2016","oTree Community","web","experiment-task","Python/Django","open-source","code-fork","1","XS","5","Proposer/responder two-page flow. Triviais de adaptar.","UG","5","Pizza-slice divisor: proposer divide círculo em duas fatias; responder aceita/rejeita. Visual sem numeracia.","sample oficial","7+","Python, oTree","grátis","1","https://github.com/oTree-org/otree_library/tree/master/ultimatum","","Strategy method variant também incluído (responder pré-compromete thresholds).","research-serious"
